newick	score	visit_count
((Gorilla,Chimp),((Human,Cat),((Dog,Rat),(Mouse,Macaque))),Orangutan);	30.531750	6
(((Macaque,(Cat,(Rat,Mouse))),((Chimp,Human),Gorilla)),Orangutan,Dog);	22.992067	42
(((Chimp,Mouse),Gorilla),(Human,Orangutan),(Macaque,(Rat,(Cat,Dog))));	33.932541	2
((((Mouse,(Gorilla,Cat)),((Rat,Macaque),Human)),Orangutan),Chimp,Dog);	46.555546	9
(((Rat,Macaque),Mouse),(Orangutan,((Chimp,Human),Gorilla)),(Cat,Dog));	17.523809	13
((Cat,(Mouse,Macaque)),(((Human,Chimp),Gorilla),Orangutan),(Rat,Dog));	20.329367	9
((((Rat,((Mouse,Gorilla),Cat)),(Macaque,Human)),Orangutan),Chimp,Dog);	47.293648	10
(((Rat,Mouse),(((Macaque,Chimp),Human),Gorilla)),Orangutan,(Cat,Dog));	31.817461	6
((((Chimp,Human),Mouse),Gorilla),Orangutan,(Macaque,(Rat,(Cat,Dog))));	29.722219	18
((((Cat,Dog),Mouse),((Chimp,Human),Gorilla)),Orangutan,(Macaque,Rat));	27.253967	14
(((Mouse,((Dog,Gorilla),(Human,Orangutan))),Rat),(Chimp,Macaque),Cat);	47.662701	5
((Rat,Mouse),(Macaque,((Chimp,(Orangutan,Human)),Gorilla)),(Cat,Dog));	23.773811	11
(((Cat,(Macaque,Mouse)),((Chimp,Human),Gorilla)),Orangutan,(Rat,Dog));	29.253969	9
(Macaque,(((Human,Chimp),(Cat,Gorilla)),Orangutan),(Mouse,(Rat,Dog)));	21.984125	21
(((Gorilla,Chimp),((Human,Rat),((Dog,Mouse),Macaque))),Cat,Orangutan);	35.468254	9
((Macaque,(((Mouse,Chimp),Human),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	34.611107	4
((Gorilla,Chimp),(Cat,(Human,((Dog,Rat),(Mouse,Macaque)))),Orangutan);	37.063496	3
(((Macaque,(Dog,(Mouse,Rat))),Gorilla),((Human,Chimp),Orangutan),Cat);	30.682541	4
(((Cat,(Macaque,((Mouse,Rat),Human))),(Gorilla,Orangutan)),Chimp,Dog);	42.539684	7
((Rat,Mouse),((Cat,(Macaque,Orangutan)),((Chimp,Human),Gorilla)),Dog);	25.238094	21
(((Mouse,(Rat,Cat)),Macaque),(((Human,Chimp),Gorilla),Orangutan),Dog);	19.817463	5
((((Rat,(Gorilla,(Macaque,Cat))),Human),(Mouse,Orangutan)),Chimp,Dog);	49.837299	3
(((Cat,(((Human,Orangutan),Gorilla),(Chimp,Macaque))),Dog),Mouse,Rat);	30.150791	1
(((Rat,Mouse),((Chimp,Human),(Macaque,Gorilla))),Orangutan,(Cat,Dog));	27.488098	28
(((Macaque,Mouse),(Chimp,Gorilla)),(Human,Orangutan),(Rat,(Cat,Dog)));	36.944447	5
(Rat,(((Mouse,Dog),Cat),Macaque),(((Human,Chimp),Gorilla),Orangutan));	21.031750	21
((Cat,Macaque),((Chimp,(Human,Gorilla)),Orangutan),(Mouse,(Rat,Dog)));	23.376987	15
((Rat,Mouse),(Orangutan,((Chimp,Human),Gorilla)),((Macaque,Cat),Dog));	17.043652	11
(((Mouse,Rat),(Chimp,(Human,Gorilla))),Orangutan,((Macaque,Dog),Cat));	31.626984	4
(((Rat,Mouse),Macaque),(Cat,(((Human,Chimp),Gorilla),Orangutan)),Dog);	22.261906	19
(((Macaque,Mouse),((Chimp,Human),Gorilla)),Orangutan,(Rat,(Cat,Dog)));	25.031746	33
(Gorilla,(Cat,((Dog,Rat),((Human,Chimp),(Mouse,Macaque)))),Orangutan);	37.738098	2
((Rat,Mouse),(Orangutan,(((Macaque,Chimp),Human),Gorilla)),(Cat,Dog));	23.194445	11
((Gorilla,(Rat,((Dog,Mouse),Macaque))),((Human,Chimp),Cat),Orangutan);	34.095242	14
((((Mouse,(Rat,Cat)),Macaque),(Gorilla,Orangutan)),(Human,Chimp),Dog);	28.317457	10
(Rat,Mouse,((Cat,Dog),((Macaque,Orangutan),((Chimp,Human),Gorilla))));	14.932540	10
((Gorilla,Human),((Chimp,Cat),((Dog,Rat),(Mouse,Macaque))),Orangutan);	31.039684	6
((Macaque,(Dog,(Mouse,Rat))),((Orangutan,(Human,Chimp)),Gorilla),Cat);	24.817459	3
(((Human,Mouse),Gorilla),(Chimp,Orangutan),(Macaque,(Rat,(Cat,Dog))));	34.150795	2
(((Dog,Mouse),(Orangutan,(Gorilla,Rat))),(Human,(Chimp,Macaque)),Cat);	41.714287	1
(((Dog,Mouse),(Human,(Gorilla,Rat))),(Orangutan,(Chimp,Macaque)),Cat);	45.619049	1
(((Orangutan,(Dog,(Mouse,(Gorilla,Human)))),Rat),(Chimp,Macaque),Cat);	49.650791	2
(Macaque,(((Cat,(Human,Chimp)),Gorilla),Orangutan),(Mouse,(Rat,Dog)));	24.309523	29
((Cat,(Rat,Mouse)),((Macaque,Orangutan),((Chimp,Human),Gorilla)),Dog);	18.801586	16
(((Rat,Mouse),((Chimp,(Macaque,Human)),Gorilla)),Orangutan,(Cat,Dog));	31.317459	6
